1462795662965241	813	eb	c5	29	8b	09	df
1462795662966116	814	ff	bc	ee	b1	e2	8e
1462795662975981	816	cf	11	aa	96	b7	b0
1462795662988194	818	9d	01	2a	00	02	00
1462795662989119	819	ea	8e	d8	e1	c0	a8
1462795662989243	821	1f	55	6b	25	65	31
1462795662994220	822	2b	be	00	c1	70	12
1462795662995127	824	75	af	dd	21	1e	46
1462795663004226	825	73	6b	75	fe	42	53
1462795663017211	827	e7	a7	67	1c	d5	24
1462795663043224	829	9d	01	2a	00	02	00
1462795663044119	831	ea	08	7d	41	0f	a8
1462795663044221	833	5b	e6	fd	16	44	e3
1462795663045225	835	46	d3	0a	5c	91	6a
1462795663071197	837	e5	0f	50	e3	b9	31
1462795663073045	839	37	95	24	16	ae	31
1462795663074141	841	be	57	4d	c0	d2	d4
1462795663074196	843	f9	e1	05	0b	05	06
1462795663099220	845	5c	7e	10	87	a4	29
1462795663101225	847	61	84	e0	12	e1	53
1462795663102227	849	1b	e7	1e	0a	0a	e0
1462795663103125	851	5c	e8	cf	a8	fd	fd
1462795663104124	853	13	e5	45	6e	66	41
1462795663127236	855	c3	a3	a1	20	82	57
1462795663129235	857	09	23	76	cc	e5	e1
1462795663130102	859	ae	ca	1e	b8	53	7f
1462795663131130	861	57	77	94	ef	70	f7
1462795663132134	863	43	72	03	2e	ac	c4
1462795663132186	864	c2	69	5f	59	72	bd
1462795663155248	866	9d	01	2a	00	02	00
1462795663157246	867	c6	ef	58	dd	eb	1b
1462795663158249	869	f0	ae	c0	8e	a1	02
1462795663159246	870	77	e8	28	83	0a	63
1462795663160202	872	c9	f5	aa	02	20	d9
1462795663161087	873	31	77	2d	6a	c2	d0
1462795663185235	875	1e	4f	58	b9	24	d9
1462795663187057	876	4e	96	44	01	30	0e
1462795663205243	878	9d	01	2a	00	02	00
1462795663206141	880	c6	ef	58	dd	eb	1b
1462795663206278	882	f0	ae	c0	8e	a1	02
1462795663215246	884	77	e8	28	83	0a	63
1462795663216138	886	c9	f5	aa	02	20	d9
1462795663233250	888	31	77	2d	6a	c2	d0
1462795663234244	890	df	b6	61	70	cc	97
1462795663243247	892	1e	4f	58	b9	24	d9
1462795663244245	894	df	b6	61	70	cc	97
1462795663262067	896	4e	96	44	01	30	0e
1462795663263124	898	9d	01	2a	00	02	00
1462795663271256	900	c6	ef	58	dd	eb	1b
1462795663272153	902	f0	ae	c0	8e	a1	02
1462795663273125	904	77	e8	28	83	0a	63
1462795663290234	906	c9	f5	aa	02	20	d9
1462795663291308	908	31	77	2d	6a	c2	d0
1462795663292125	910	1e	4f	58	b9	24	d9
1462795663299251	912	df	b6	61	70	cc	97
1462795663300066	914	4e	96	44	01	30	0e
1462795663313132	916	9d	01	2a	00	02	00
1462795663318207	917	c6	ef	58	dd	eb	1b
1462795663319213	919	f0	ae	c0	8e	a1	02
1462795663320207	920	77	e8	28	83	0a	63
1462795663327265	922	c9	f5	aa	02	20	d9
1462795663328235	923	31	77	2d	6a	c2	d0
1462795663346266	925	1e	4f	58	b9	24	d9
1462795663347108	926	df	b6	61	70	cc	97
1462795663348031	928	4e	96	44	01	30	0e
1462795663364227	930	9d	01	2a	00	02	00
1462795663365117	931	c6	ef	58	dd	eb	1b
1462795663365285	933	f0	ae	c0	8e	a1	02
1462795663375313	934	77	e8	28	83	0a	63
1462795663376176	936	c9	f5	aa	02	20	d9
1462795663377151	937	31	77	2d	6a	c2	d0
1462795663393187	939	1e	4f	58	b9	24	d9
1462795663394169	940	df	b6	61	70	cc	97
1462795663403167	943	4e	96	44	01	30	0e
1462795663419291	945	9d	01	2a	00	02	00
1462795663420192	946	c6	ef	58	dd	eb	1b
1462795663420262	948	f0	ae	c0	8e	a1	02
1462795663422262	949	77	e8	28	83	0a	63
1462795663423155	951	c9	f5	aa	02	20	d9
1462795663432189	953	31	77	2d	6a	c2	d0
1462795663448291	955	1e	4f	58	b9	24	d9
1462795663449130	956	df	b6	61	70	cc	97
1462795663450017	958	4e	96	44	01	30	0e
1462795663476286	960	9d	01	2a	00	02	00
1462795663477189	961	c6	ef	58	dd	eb	1b
1462795663477273	963	f0	ae	c0	8e	a1	02
1462795663478197	964	77	e8	28	83	0a	63
1462795663478260	966	c9	f5	aa	02	20	d9
1462795663479189	967	31	77	2d	6a	c2	d0
1462795663505288	969	1e	4f	58	b9	24	d9
1462795663506184	970	df	b6	61	70	cc	97
1462795663506203	972	4e	96	44	01	30	0e
1462795663528290	974	9d	01	2a	00	02	00
1462795663529196	975	bb	d6	37	7a	c6	ef
1462795663530203	977	7e	ff	60	65	a7	45
1462795663530267	978	03	98	b0	a2	07	81
1462795663534249	980	3f	90	57	e8	f2	3f
1462795663535194	981	25	37	47	a6	7f	eb
1462795663536190	983	62	0b	94	f4	0c	31
1462795663557270	984	50	1d	4c	e7	90	c1
1462795663557975	986	28	68	93	c6	76	49
1462795663580202	988	9d	01	2a	00	02	00
1462795663581199	989	43	ea	08	7d	41	0f
1462795663581274	991	d5	c0	98	ce	95	7c
1462795663581495	992	71	23	6b	f5	40	6f
1462795663585259	994	9a	b3	8f	4a	01	88
1462795663586149	995	3d	40	ab	76	0b	4e
1462795663587148	997	c8	c4	0d	25	c5	59
1462795663609300	998	56	a7	f8	67	f9	cd
1462795663610003	1000	33	69	d3	3d	68	74
1462795663628305	1002	9d	01	2a	00	02	00
1462795663629214	1003	43	ea	08	7d	41	0f
1462795663629303	1005	d5	c0	98	ce	95	7c
1462795663629458	1006	71	23	6b	f5	40	6f
1462795663629531	1008	9a	b3	8f	4a	01	88
1462795663637315	1009	3d	40	ab	76	0b	4e
1462795663638211	1011	c8	c4	0d	25	c5	59
1462795663639214	1012	56	a7	f8	67	f9	cd
1462795663657118	1014	33	69	d3	3d	68	74
1462795663677317	1016	9d	01	2a	00	02	00
1462795663678215	1017	43	ea	08	7d	41	0f
1462795663678305	1019	d5	c0	98	ce	95	7c
1462795663679203	1020	71	23	6b	f5	40	6f
1462795663679389	1022	9a	b3	8f	4a	01	88
1462795663679413	1023	3d	40	ab	76	0b	4e
1462795663679633	1025	c8	c4	0d	25	c5	59
1462795663685319	1026	56	a7	f8	67	f9	cd
1462795663706110	1028	33	69	d3	3d	68	74
1462795663724324	1030	9d	01	2a	00	02	00
1462795663725221	1031	43	ea	08	7d	41	0f
1462795663725310	1033	d5	c0	98	ce	95	7c
1462795663725503	1034	71	23	6b	f5	40	6f
